Title,PDF Link
"Advancing Business Understanding of Peace, Justice and Strong Institutions Country Consultation Reports",https://assets.adobe.com/public/1288267c-25b0-4b9d-6020-872fd163ce70/Country%20Consultation%20Report_Brazil.pdf
"ADVANCING BUSINESS UNDERSTANDING OF PEACE, JUSTICE AND STRONG INSTITUTIONS - COUNTRY CONSULTATION GLOBAL SYNTHESIS REPORT",https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Country%20Consultation%20Global%20Synthesis%20Report.pdf
Accelerating Blue Bonds Issuances in Latin America and the Caribbean,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Accelerating%20Blue%20Bonds%20Issuances%20in%20Latin%20America%20and%20the%20Caribbean.pdf
Target Gender Equality Case Studies,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Case%20Study%20-%20Natura.pdf
Target Gender Equality Interviews with Female Leaders,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/TGE%20Profile%20-%20Ferrocarrils%20de%20la%20Generalitat%20de%20Catalunya.pdf
Taking the Temperature. Assessing and scaling-up climate ambition in the G7 business sector,https://sciencebasedtargets.org/resources/files/SBTi-TakingtheTemperatureReport2021.pdf
Leadership Briefing from the UN Global Compact,https://info.unglobalcompact.org/l/591891/une-Summit-Executive-Brief-pdf/58cqcn
Uniting against Corruption: A Playbook on Anti-Corruption Collective Action,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/2021_Anti-Corruption_Collective.pdf
CFO Principles KPIs and Definitions for Progress Measurement and Target Setting,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/KPIs-and-Definitions-for-Progress-Measurement-and-Targets-setting-UN-Global-Compact-CFO-Taskforce-for-the-SDGs.pdf
The SME Guide to Corporate Sustainability,https://info.unglobalcompact.org/l/591891/o-Corporate-Sustainability-pdf/58cqcr
The Future Is Green And Inclusive - Eastern Europe,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/The%20Future%20Is%20Green%20and%20Inclusive.pdf
Charting a 1.5°C Trajectory for Maritime Transport,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Charting%20a%201.5%C2%B0C%20Trajectory%20for%20Maritime%20Transport.pdf
Blueprint for a Climate-Smart Ocean to Meet 1.5°C,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/_Blueprint%20for%20a%20Climate-Smart%20Ocean%20to%20Meet%201.5%C2%B0C.pdf
"Gender Equality, Diversity & Inclusion Spotlight",https://info.unglobalcompact.org/l/591891/nd20Inclusion20Spotlight20-pdf/58cqcv
"Gender Equality, Diversity & Inclusion Spotlight",https://info.unglobalcompact.org/l/591891/ight-DE-REV-FINAL-Designed-pdf/58cqcy
"Gender Equality, Diversity & Inclusion Spotlight",https://info.unglobalcompact.org/l/591891/lusion20Spotlight-Georgian-pdf/58cqd2
"Gender Equality, Diversity & Inclusion Spotlight",https://info.unglobalcompact.org/l/591891/ht20-PT-REV-FINAL-Designed-pdf/58cqd5
"Gender Equality, Diversity & Inclusion Spotlight",https://info.unglobalcompact.org/l/591891/ht20-ES-REV-FINAL-Designed-pdf/58cqd8
"Gender Equality, Diversity & Inclusion Spotlight",https://info.unglobalcompact.org/l/591891/clusion20Spotlight-Turkish-pdf/58cqdc
UN Global Compact Africa Strategy 2021–2023,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/UNGC_Mobilising%20Business%20in%20Africa_2021_2023.pdf
Nine Business Practices for Improving Safety and Health Through Supply Chains and Building a Culture of Prevention and Protection,https://info.unglobalcompact.org/l/591891/lications-OSH20Brief-FINAL-pdf/58cqdg
Taking the Temperature: Unlocking Breakthrough Climate Action in the G20,https://sciencebasedtargets.org/resources/files/Taking-the-Temperature-in-the-G20.pdf
Seaweed as a Nature-Based Climate Solution Vision Statement,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Seaweed%20as%20a%20Nature-Based%20Climate%20Solution.pdf
